run_id,config,seed,episodes_logged,last500_win,last500_boss_hits,last500_zero_hit,last500_agent_hits,last500_timeout,last500_fire_dist,last500_oob_rate,last_policy_std,last_entropy,final_curriculum_stage,last500_comm_rate,log_file,trainer_log
commgate_tiny_seed0,commgate_tiny,0,1000,0.652000,2.514000,0.024000,2.578000,0.322000,2.704740,0.137701,1.006034,4.274873,-1,0.209272,runs/battleship_grid/20260427_032405/commgate_tiny_seed0/logs/seqcomm_20260427_032406.jsonl,runs/battleship_grid/20260427_032405/commgate_tiny_seed0/trainer.jsonl
commgate_medium_seed0,commgate_medium,0,1000,0.702000,2.562000,0.034000,2.872000,0.188000,2.450288,0.091257,1.010271,4.287133,-1,0.282716,runs/battleship_grid/20260427_032405/commgate_medium_seed0/logs/seqcomm_20260427_032717.jsonl,runs/battleship_grid/20260427_032405/commgate_medium_seed0/trainer.jsonl
commgate_large_seed0,commgate_large,0,1000,0.724000,2.630000,0.028000,2.732000,0.200000,2.549410,0.108430,1.006258,4.275466,-1,0.146544,runs/battleship_grid/20260427_032405/commgate_large_seed0/logs/seqcomm_20260427_033022.jsonl,runs/battleship_grid/20260427_032405/commgate_large_seed0/trainer.jsonl
